Video Name,Deformation,Shake,Blur,Exposure,MOS,Width,Height,Frame,Description
A_1.mp4,4.571,1.786,1.5,1.714,4.233333333,1920,1080,30,The video has extreme deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
A_10.mp4,1.786,2,2.286,2.857,5.7,1280,720,30,The video has slight blur on the whole of the video frame during the entire of the time and has moderate exposure during the entire of the time.
A_11.mp4,1.286,1.5,1.214,1.857,8.233333333,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight exposure during the entire of the time.
A_12.mp4,1.786,1.357,1.214,1.714,7.816666667,1920,1080,30,The video has slight shake on the whole of the video frame during the first half of the time and has slight exposure during the entire of the time.
A_13.mp4,2.214,3.643,2.786,1.5,4.46,1280,720,30,The video has serious shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
A_14.mp4,1.429,2.143,2.214,1.571,5.557142857,1280,720,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
A_15.mp4,2.143,2.143,2.429,3.714,4.433333333,1280,720,30,The video has slight deformation on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
A_17.mp4,1.286,1.643,1.357,1.5,7.35,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight exposure during the entire of the time.
A_18.mp4,1.429,2.143,1.786,1.357,5.9,1920,1080,30,The video has moderate shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
A_19.mp4,1.214,1.286,1.214,1.857,7.6,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight exposure during the latter half of the time.
A_2.mp4,1.286,2.071,2.214,1.714,6.22,1280,720,30,The video has slight shake on the whole of the video frame during the first half of the time and has slight blur during the latter half of the time.
A_22.mp4,1.286,2.714,1.5,2.143,6.733333333,1280,720,30,The video has moderate shake on the whole of the video frame during the entire of the time and has slight exposure during the entire of the time.
A_23.mp4,1.214,1.286,1.143,1.286,8.32,2560,1440,60,The video has without deformation on the whole of the video frame during the entire of the time and has slight shake during the first half of the time.
A_24.mp4,1.429,1.357,1.286,1.143,8.716666667,2560,1440,60,The video has without deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
A_25.mp4,1.429,1.571,1.714,1.714,7.166666667,1920,1080,30,The video has slight blur on the whole of the video frame during the first half of the time and has slight exposure during the entire of the time.
A_26.mp4,1.286,1.643,1.5,1.429,7.633333333,1920,1080,30,The video has slight shake on the whole of the video frame during the first half of the time and has slight exposure during the entire of the time.
A_27.mp4,1.357,1.357,1.571,3.214,5.825,2560,1440,60,The video has slight blur on the whole of the video frame during the entire of the time and has serious exposure during the entire of the time.
A_28.mp4,2.357,3.071,1.143,1.5,6.483333333,1280,720,30,The video has slight deformation on the whole of the video frame during the first half of the time and has moderate shake during the entire of the time.
A_29.mp4,2.857,2.143,1.571,2.214,5.28,2560,1440,60,The video has slight deformation on the bottom of the video frame during the latter half of the time and has moderate exposure during the entire of the time.
A_3.mp4,3.071,2.214,1.5,2.5,5.2625,1920,1080,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has moderate exposure during the entire of the time.
A_31.mp4,3.286,1.929,1.714,1.143,5.35,1920,1080,30,The video has serious deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
A_33.mp4,1.857,2.571,1.929,1.571,5.3,1920,1080,30,The video has slight deformation on the both sides of the video frame during the entire of the time and has moderate shake during the entire of the time.
A_34.mp4,1.214,1.857,2.643,3.714,4.225,1280,720,30,The video has serious exposure on the top left corner of the video frame during the entire of the time and has moderate blur during the entire of the time.
A_35.mp4,1.5,3.286,3.286,1.643,3.375,1920,1080,30,The video has serious blur on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
A_36.mp4,2.214,2.071,1.429,1.714,5.6,1920,1080,30,The video has slight deformation on the whole of the video frame during the first half of the time and has slight shake during the entire of the time.
A_37.mp4,1.929,3.214,2.643,1.571,4.766666667,1280,720,30,The video has serious shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
A_38.mp4,1.714,2.357,1.714,2,5.571428571,1920,1080,30,The video has moderate shake on the whole of the video frame during the latter half of the time and has slight exposure during the latter half of the time.
A_39.mp4,1.5,1.857,2.071,1.929,5.725,1920,1080,30,The video has moderate exposure on the top right corner of the video frame during the latter half of the time and has moderate blur during the entire of the time.
